Date : 2025-10-10 10:25:05
Directory : d:\EcoTrack-Waste-Management-System-main\client
Total : 765 files,  -159545 codes, -66630 comments, -26503 blanks, all -252678 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\__init__.py                             | Python             |          0 |          0 |         -1 |         -1 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_appengine_environ.py                   | Python             |        -15 |        -10 |        -12 |        -37 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport\__init__.py            | Python             |          0 |          0 |         -1 |         -1 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport\bindings.py            | Python             |       -380 |        -48 |        -92 |       -520 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport\low_level.py           | Python             |       -218 |       -122 |        -58 |       -398 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\appengine.py                            | Python             |       -201 |        -68 |        -46 |       -315 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\ntlmpool.py                             | Python             |        -92 |        -20 |        -19 |       -131 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\pyopenssl.py                            | Python             |       -322 |       -108 |        -90 |       -520 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\securetransport.py                      | Python             |       -543 |       -252 |       -127 |       -922 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\socks.py                                | Python             |       -129 |        -56 |        -32 |       -217 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\exceptions.py                                   | Python             |       -128 |        -69 |       -127 |       -324 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\fields.py                                       | Python             |       -122 |       -111 |        -42 |       -275 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\filepost.py                                     | Python             |        -46 |        -31 |        -22 |        -99 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\packages\__init__.py                            | Python             |          0 |          0 |         -1 |         -1 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports\__init__.py                  | Python             |          0 |          0 |         -1 |         -1 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports\makefile.py                  | Python             |        -38 |        -11 |         -3 |        -52 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\packages\six.py                                 | Python             |       -735 |       -133 |       -209 |     -1,077 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\poolmanager.py                                  | Python             |       -267 |       -191 |        -80 |       -538 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\request.py                                      | Python             |        -73 |        -76 |        -22 |       -171 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\response.py                                     | Python             |       -521 |       -233 |       -113 |       -867 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\util\__init__.py                                | Python             |        -46 |         -1 |         -3 |        -50 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\util\connection.py                              | Python             |        -79 |        -42 |        -29 |       -150 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\util\proxy.py                                   | Python             |        -30 |        -18 |        -10 |        -58 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\util\queue.py                                   | Python             |        -14 |         -1 |         -8 |        -23 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\util\request.py                                 | Python             |        -65 |        -54 |        -19 |       -138 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\util\response.py                                | Python             |        -44 |        -45 |        -19 |       -108 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\util\retry.py                                   | Python             |       -344 |       -203 |        -74 |       -621 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\util\ssl_.py                                    | Python             |       -272 |       -149 |        -75 |       -496 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\util\ssl_match_hostname.py                      | Python             |        -85 |        -54 |        -21 |       -160 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\util\ssltransport.py                            | Python             |       -155 |        -29 |        -38 |       -222 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\util\timeout.py                                 | Python             |        -90 |       -153 |        -26 |       -269 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\util\url.py                                     | Python             |       -263 |       -107 |        -66 |       -436 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\urllib3\util\wait.py                                    | Python             |        -83 |        -44 |        -26 |       -153 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\webencodings\__init__.py                                | Python             |       -118 |       -183 |        -42 |       -343 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\webencodings\labels.py                                  | Python             |       -216 |        -13 |         -3 |       -232 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\webencodings\mklabels.py                                | Python             |        -26 |        -24 |        -10 |        -60 |
